site_id,season,n,rmse,mae,rmse_skill_vs_persistence,mae_skill_vs_persistence
1,winter,8640,3.2686959802230646,2.4725528642765884,0.4174631084554844,0.4117909858246203
1,spring,52440,3.450254286735209,2.5721911095811265,0.5348813323866077,0.5510538613809718
1,summer,23232,2.577608856423571,1.8863280340330035,0.7460074495060471,0.7682766477535354
1,fall,8736,2.794929612451025,2.056200594470643,0.6267431128744174,0.6457689292413877
2,winter,8308,7.137566725292909,4.777787139551821,0.35021026621264784,0.33795775682284157
2,spring,45958,7.635982259365211,5.664276926292391,0.38595387108365364,0.39388193548746053
2,summer,19789,6.138276598786968,4.685358200194204,0.3959443462000287,0.41587884281288945
2,fall,7781,7.103054852164271,5.252861280498631,0.4093332086359619,0.4119375503657605
