target_variable,site_id,season,horizon_bin,n,rmse,mae,rmse_skill_vs_persistence,mae_skill_vs_persistence
air_temperature,2,spring,12-18,11424,7.961065139475771,6.118411307742607,0.4501665865695697,0.4826796278187329
air_temperature,2,spring,18-24,11534,7.763106401518404,5.688031222978589,0.2113236197905715,0.194713452970291
air_temperature,2,spring,6-12,11423,7.966208445982888,6.085498302967559,0.4622208013988856,0.4973617333329845
air_temperature,2,summer,0-6,4977,5.951272527505693,4.317884743249581,0.291410676431527,0.3220736770778419
air_temperature,2,summer,12-18,4925,6.238338907322548,4.924286265929943,0.4579077390799758,0.4852287944849394
air_temperature,2,summer,18-24,4974,6.066500044812561,4.621380726544311,0.2986998300761827,0.2984067290354597
air_temperature,2,summer,6-12,4913,6.293974976361313,4.882878783422261,0.4602069323782239,0.4912707595375257
air_temperature,2,winter,0-6,2077,6.484367742817107,3.814474514752383,0.3219115673050665,0.3175265568502307
air_temperature,2,winter,12-18,2077,7.559200153785643,5.315632062754739,0.4026966055429959,0.4156989386637161
air_temperature,2,winter,18-24,2077,7.265509150657879,4.949225916740649,0.1745181448304348,0.1442865954510346
air_temperature,2,winter,6-12,2077,7.197449536096856,5.031816063959512,0.4191731073531114,0.400732362720972
discharge,3,fall,0-6,2136,4.00886060291072,2.153936321815748,0.1548993909356402,0.0489196258451649
discharge,3,fall,12-18,2136,4.985932226961794,3.0704191936535783,0.1883352093648376,0.1126091122352264
discharge,3,fall,18-24,2136,5.266832421969991,3.267865666735932,0.184502568441418,0.0657142067825299
discharge,3,fall,6-12,2136,4.579871764551085,2.736131325196684,0.2099688295916972,0.1485230289141587
discharge,3,spring,0-6,13110,17.432090560552506,9.289238101775911,0.0884718940246812,0.0684020620819251
discharge,3,spring,12-18,13110,29.37435544318113,20.07882814560111,0.0351379467164706,0.0247020017303727
discharge,3,spring,18-24,13110,34.05071873659409,23.605834668215497,-0.0736365597419588,-0.1058619151741053
discharge,3,spring,6-12,13110,23.083187221965712,14.889546956077591,0.1456545573052857,0.1399010165619375
discharge,3,summer,0-6,5442,13.864477715494642,5.512170954952779,0.0172627214657854,0.0316045415762155
discharge,3,summer,12-18,5442,17.1973384990887,9.22455359714428,0.0761020603489377,0.2040589643890681
discharge,3,summer,18-24,5442,19.025670510801177,10.666292585199784,0.0851555561010198,0.2187934225955271
